,close,epoch,high,low,open
0,8591.8,1748318400,8608.2,8586.4,8595.7
1,8576.8,1748332800,8593.1,8576.2,8591.7
2,8572.4,1748347200,8578.6,8566.2,8576.9
3,8582.8,1748361600,8585.4,8570.0,8572.3
4,8588.2,1748376000,8592.9,8577.8,8582.9
5,8603.4,1748390400,8608.1,8587.1,8588.1
6,8615.6,1748404800,8620.2,8598.7,8603.3
7,8618.0,1748419200,8623.8,8606.7,8615.5
8,8608.4,1748433600,8621.0,8597.4,8618.1
9,8625.4,1748448000,8633.8,8607.9,8608.5
10,8622.2,1748462400,8637.0,8619.6,8625.3
11,8620.4,1748476800,8625.3,8615.0,8622.3
12,8626.4,1748491200,8629.8,8612.8,8620.3
13,8637.6,1748505600,8638.9,8624.6,8626.3
14,8629.0,1748520000,8649.6,8627.9,8637.5
15,8610.4,1748534400,8631.5,8605.1,8628.9
16,8639.6,1748548800,8642.1,8608.1,8610.5
17,8643.8,1748563200,8646.0,8627.8,8639.5
18,8660.2,1748577600,8661.3,8641.5,8643.9
19,8668.0,1748592000,8676.0,8658.2,8660.3
20,8675.6,1748606400,8678.7,8660.4,8667.9
21,8657.8,1748620800,8677.9,8654.8,8675.5
22,8660.6,1748635200,8671.6,8655.8,8657.7
23,8650.6,1748649600,8662.9,8643.0,8660.5
24,8648.6,1748664000,8657.4,8641.7,8650.7
25,8628.6,1748678400,8651.8,8628.2,8648.5
26,8615.8,1748692800,8633.2,8612.8,8628.7
27,8597.6,1748707200,8617.0,8592.6,8615.7
28,8593.6,1748721600,8603.1,8590.0,8597.7
29,8588.0,1748736000,8594.7,8579.9,8593.7
30,8592.2,1748750400,8595.4,8581.7,8587.9
31,8581.8,1748764800,8597.5,8581.3,8592.3
32,8561.0,1748779200,8582.7,8560.9,8581.7
33,8539.4,1748793600,8564.3,8535.7,8560.9
34,8537.6,1748808000,8542.2,8528.1,8539.5
35,8536.0,1748822400,8546.6,8533.2,8537.7
36,8547.6,1748836800,8555.5,8534.6,8535.9
37,8539.6,1748851200,8551.3,8531.8,8547.5
38,8553.0,1748865600,8554.0,8531.7,8539.5
39,8558.8,1748880000,8562.2,8550.8,8553.1
40,8549.4,1748894400,8560.9,8548.5,8558.9
41,8564.8,1748908800,8566.6,8547.9,8549.3
42,8562.8,1748923200,8569.6,8560.1,8564.9
43,8557.2,1748937600,8563.7,8550.7,8562.9
44,8555.4,1748952000,8575.1,8554.6,8557.3
45,8554.4,1748966400,8558.2,8545.8,8555.3
46,8574.2,1748980800,8578.2,8553.3,8554.3
47,8585.8,1748995200,8591.7,8567.4,8574.1
48,8589.6,1749009600,8598.5,8585.1,8585.9
49,8592.4,1749024000,8595.5,8582.8,8589.5
50,8611.0,1749038400,8617.3,8592.1,8592.3
51,8623.2,1749052800,8625.9,8608.0,8610.9
52,8634.6,1749067200,8635.1,8621.6,8623.1
53,8608.0,1749081600,8637.8,8606.5,8634.7
54,8619.4,1749096000,8622.5,8606.5,8607.9
55,8603.6,1749110400,8624.0,8602.3,8619.5
56,8607.2,1749124800,8614.1,8597.6,8603.7
57,8604.2,1749139200,8624.9,8600.1,8607.1
58,8596.2,1749153600,8604.9,8586.4,8604.3
59,8590.0,1749168000,8602.8,8584.3,8596.3
60,8579.1,1749182400,8597.7,8574.1,8589.9
61,8567.5,1749196800,8579.4,8558.3,8579.2
62,8573.3,1749211200,8579.4,8565.4,8567.6
63,8573.5,1749225600,8578.1,8559.6,8573.2
64,8579.9,1749240000,8579.9,8568.8,8573.4
65,8560.7,1749254400,8585.7,8552.1,8580.0
66,8560.1,1749268800,8563.0,8548.8,8560.8
67,8548.1,1749283200,8564.7,8542.1,8560.0
68,8532.7,1749297600,8548.8,8531.8,8548.2
69,8542.3,1749312000,8543.4,8529.4,8532.8
70,8535.9,1749326400,8547.8,8530.5,8542.2
71,8534.7,1749340800,8543.9,8529.1,8536.0
72,8544.1,1749355200,8548.2,8530.5,8534.8
73,8540.3,1749369600,8557.0,8536.8,8544.2
74,8537.7,1749384000,8544.6,8531.3,8540.4
75,8531.5,1749398400,8546.7,8529.9,8537.8
76,8525.3,1749412800,8535.4,8520.4,8531.6
77,8537.1,1749427200,8541.8,8517.6,8525.2
78,8553.3,1749441600,8557.1,8536.6,8537.2
79,8526.5,1749456000,8553.8,8524.3,8553.4
80,8535.3,1749470400,8537.0,8523.6,8526.4
81,8548.7,1749484800,8550.2,8531.0,8535.4
82,8539.1,1749499200,8562.2,8537.5,8548.8
83,8522.7,1749513600,8541.8,8519.5,8539.0
84,8521.9,1749528000,8527.2,8515.4,8522.8
85,8529.1,1749542400,8529.2,8509.0,8521.8
86,8526.7,1749556800,8534.1,8520.6,8529.2
87,8508.1,1749571200,8527.6,8503.4,8526.8
88,8499.3,1749585600,8513.1,8489.8,8508.2
89,8485.3,1749600000,8506.1,8483.4,8499.2
90,8477.9,1749614400,8485.6,8469.5,8485.4
91,8478.5,1749628800,8480.3,8463.9,8477.8
92,8455.5,1749643200,8481.3,8455.4,8478.4
93,8470.7,1749657600,8474.1,8451.9,8455.6
94,8474.1,1749672000,8479.2,8466.4,8470.6
95,8467.5,1749686400,8475.0,8461.5,8474.0
96,8466.3,1749700800,8477.7,8463.5,8467.4
97,8465.1,1749715200,8470.8,8458.7,8466.2
98,8462.5,1749729600,8479.7,8461.1,8465.0
99,8479.5,1749744000,8487.4,8456.0,8462.4
100,8455.1,1749758400,8480.2,8454.4,8479.4
101,8426.7,1749772800,8456.6,8422.8,8455.2
102,8434.5,1749787200,8439.1,8421.6,8426.6
103,8428.3,1749801600,8437.6,8417.7,8434.6
104,8440.9,1749816000,8444.3,8415.9,8428.4
105,8441.1,1749830400,8446.4,8428.3,8441.0
106,8416.3,1749844800,8442.5,8415.9,8441.0
107,8412.5,1749859200,8421.8,8407.4,8416.4
108,8432.3,1749873600,8434.4,8412.4,8412.6
109,8450.1,1749888000,8451.3,8430.4,8432.2
110,8433.9,1749902400,8455.9,8431.5,8450.0
111,8439.5,1749916800,8451.1,8433.3,8433.8
112,8436.7,1749931200,8446.1,8424.1,8439.6
113,8459.3,1749945600,8459.3,8435.8,8436.8
114,8463.7,1749960000,8469.6,8455.9,8459.2
115,8443.1,1749974400,8464.5,8437.6,8463.6
116,8443.3,1749988800,8455.5,8441.6,8443.0
117,8457.3,1750003200,8464.9,8441.0,8443.4
118,8438.7,1750017600,8460.8,8437.6,8457.2
119,8427.1,1750032000,8443.2,8423.7,8438.6
120,8424.1,1750046400,8432.6,8418.2,8427.0
121,8420.5,1750060800,8434.7,8414.1,8424.0
122,8401.7,1750075200,8421.5,8399.3,8420.6
123,8412.7,1750089600,8416.6,8400.1,8401.6
124,8415.1,1750104000,8417.2,8399.2,8412.8
125,8394.3,1750118400,8421.3,8389.5,8415.0
126,8394.9,1750132800,8401.3,8385.5,8394.2
127,8398.3,1750147200,8407.6,8389.1,8395.0
128,8392.7,1750161600,8401.1,8372.8,8398.4
129,8404.1,1750176000,8411.3,8392.1,8392.6
130,8400.5,1750190400,8406.8,8394.3,8404.2
131,8390.1,1750204800,8403.1,8387.5,8400.6
132,8383.9,1750219200,8397.8,8379.3,8390.0
133,8392.5,1750233600,8402.2,8377.0,8383.8
134,8401.9,1750248000,8409.4,8390.9,8392.4
135,8426.3,1750262400,8433.1,8399.9,8401.8
136,8447.7,1750276800,8451.6,8422.6,8426.2
137,8459.3,1750291200,8460.7,8445.4,8447.6
138,8467.5,1750305600,8469.3,8453.5,8459.2
139,8464.9,1750320000,8474.6,8459.9,8467.6
140,8485.7,1750334400,8493.9,8464.9,8465.0
141,8473.3,1750348800,8492.0,8472.3,8485.6
142,8484.3,1750363200,8489.9,8472.3,8473.4
143,8483.3,1750377600,8495.5,8479.4,8484.2
144,8494.1,1750392000,8502.4,8477.1,8483.2
145,8492.9,1750406400,8506.1,8489.8,8494.0
146,8490.7,1750420800,8502.9,8484.0,8492.8
147,8498.1,1750435200,8504.3,8487.7,8490.8
148,8504.5,1750449600,8510.9,8497.4,8498.0
149,8510.3,1750464000,8515.3,8503.0,8504.6
150,8529.3,1750478400,8530.0,8509.6,8510.2
151,8525.5,1750492800,8535.7,8522.7,8529.4
152,8534.7,1750507200,8539.2,8518.7,8525.4
153,8517.3,1750521600,8535.3,8512.3,8534.6
154,8500.7,1750536000,8518.2,8496.4,8517.4
155,8480.3,1750550400,8505.0,8478.1,8500.6
156,8476.1,1750564800,8482.5,8468.7,8480.2
157,8454.9,1750579200,8476.6,8453.6,8476.0
158,8452.9,1750593600,8460.7,8442.2,8455.0
159,8442.1,1750608000,8458.7,8436.9,8452.8
160,8442.3,1750622400,8450.5,8435.1,8442.2
161,8446.1,1750636800,8461.5,8441.5,8442.2
162,8438.9,1750651200,8453.1,8438.8,8446.0
163,8434.5,1750665600,8448.0,8428.1,8438.8
164,8431.1,1750680000,8438.9,8424.5,8434.4
165,8436.1,1750694400,8437.7,8421.2,8431.0
166,8456.1,1750708800,8458.1,8432.4,8436.0
167,8445.7,1750723200,8458.0,8437.0,8456.2
168,8444.5,1750737600,8447.0,8434.0,8445.8
169,8448.7,1750752000,8455.9,8439.3,8444.4
170,8436.9,1750766400,8457.0,8435.9,8448.8
